key,population_den,area,female_per,children_living_with_single_parents,owner_occupied,some_college_more,dropped_out_schoolOrCollege,sep_wid_div,unemp,debt_housing_units,housing_retirement_income,females_per_tier1_jobs,household_income_less_than_20k,household_size_greater_than_equal_3,age_35_to_54,family_household,household_self_emp,hh_dividends,yr_built,electricity_cost_per,gross_rent,pool_publicTransport,bike
05051-011902-2,63.2,16.43,0.46,0,403,0.65,0,0.2,0.03,0.74,0.24,0.38,0.91,0.23,0.16,0.73,0.05,0.18,1987,0.57,1,0.07,0
05051-012001-1,749,2.35,0.49,0,753,0.74,0,0.28,0.01,0.33,0.53,0.3,0.71,0.12,0.16,0.6,0.06,0.23,1979,0.99,0.5,0.06,0
05051-012001-2,45.1,33.43,0.61,0.26,514,0.64,0,0.33,0,0.51,0.67,0.57,0.91,0.1,0.16,0.59,0.02,0.21,1989,0.95,0.06,0,0
05051-012001-3,3.9,79.03,0.48,1,198,0.45,0,0.43,0.07,0,0.48,0.57,0.55,0.07,0.22,0.47,0,0.2,1999,0.66,0,0.17,0
05051-012001-4,5.5,104.96,0.45,0,175,0.27,0,0.25,0,0.38,0.39,0.57,0.8,0.36,0.18,0.59,0.22,0.1,1991,0.64,0,0,0
05051-012002-1,266.1,8.08,0.57,0.37,902,0.78,0,0.28,0,0.34,0.49,0.63,0.88,0.16,0.1,0.58,0.03,0.36,1989,0.95,0,0,0
05051-012002-2,455.6,4.07,0.42,0.09,895,0.73,0.32,0.25,0.04,0.51,0.63,0.77,0.89,0.18,0.09,0.6,0.06,0.39,1981,0.99,0.09,0.11,0
05053-470100-1,16.4,95.03,0.57,0.09,470,0.51,0,0.13,0,0.19,0.35,0.26,0.73,0.56,0.35,0.79,0,0.34,1990,0.69,0.11,0.05,0
05053-470100-2,20.3,79.03,0.5,0.08,658,0.4,0,0.21,0.01,0.52,0.2,0.5,0.74,0.27,0.3,0.55,0.08,0.15,1995,0.64,0,0.01,0
05053-470100-3,19.5,75.57,0.57,0,458,0.53,0,0.18,0.01,0.56,0.14,0.62,0.93,0.6,0.27,0.78,0.09,0.17,1991,0.69,0,0.08,0
05053-470200-1,30.3,63.64,0.47,0.22,575,0.45,0.1,0.25,0.04,0.44,0.2,0.26,0.94,0.41,0.27,0.83,0.12,0.14,1990,0.49,0.1,0.11,0
05053-470200-2,20.3,64.92,0.43,0.17,348,0.4,0.07,0.19,0.04,0.66,0.25,0.38,0.87,0.44,0.34,0.77,0.13,0.14,1995,0.75,0,0.02,0
05053-470300-1,14.1,134.93,0.48,0.18,483,0.45,0.09,0.14,0.04,0.36,0.23,0.53,0.87,0.47,0.21,0.8,0.1,0.14,1979,0.46,0.21,0.09,0
05053-470300-2,11.7,58.43,0.42,0,262,0.38,0,0.13,0.01,0.65,0.11,0.69,0.93,0.32,0.28,0.69,0.05,0.01,1989,0.62,0.21,0.12,0
05053-470300-3,30.2,42.35,0.38,0.1,414,0.46,0.06,0.17,0.02,0.31,0.23,0.58,0.86,0.35,0.21,0.64,0.1,0.11,1980,0.5,0.2,0.02,0
05053-470401-1,292.9,4.91,0.46,0.26,476,0.72,0.32,0.18,0,0.43,0.62,0.62,0.79,0.23,0.26,0.57,0.03,0.18,1987,0.38,0.08,0.12,0
05053-470401-2,210.9,10.88,0.54,0.69,546,0.54,0,0.36,0.01,0.56,0.11,0.66,0.82,0.37,0.25,0.75,0.13,0.06,1986,0.55,0.21,0.01,0
05053-470402-1,1099.7,2.21,0.54,0.43,552,0.48,0,0.36,0.03,0.63,0.27,0.71,0.77,0.43,0.19,0.6,0.05,0.19,1983,0.35,0.31,0.21,0
05055-480100-1,17.7,55.62,0.44,0.31,351,0.36,0,0.12,0.04,0.35,0.13,0.39,0.92,0.33,0.28,0.84,0.11,0.15,2002,0.6,0.24,0.1,0
05055-480100-2,276.7,5.79,0.56,0.43,280,0.25,0.1,0.29,0.05,0.75,0.26,0.47,0.73,0.49,0.16,0.74,0.18,0.05,1981,0.49,0.24,0.14,0
05055-480100-3,7.4,71.84,0.54,0.35,219,0.38,0,0.29,0.07,0.19,0.17,0.34,0.81,0.13,0.14,0.61,0.09,0.19,1970,0.52,0.23,0.37,0
05055-480200-1,51.7,33.75,0.52,0.13,631,0.33,0.04,0.22,0.04,0.42,0.17,0.36,0.79,0.37,0.34,0.69,0.15,0.2,1991,0.54,0.02,0.1,0
05055-480200-2,131.4,9.83,0.55,0.1,419,0.6,0,0.21,0.02,0.62,0.17,0.59,0.86,0.37,0.25,0.68,0.06,0.25,2000,0.84,0.03,0.05,0
05055-480200-3,113.2,14.42,0.51,0.07,557,0.46,0.14,0.2,0.05,0.66,0.24,0.41,0.9,0.35,0.31,0.78,0.2,0.12,1988,0.79,0.22,0.09,0
05055-480300-1,25.5,70.79,0.5,0.12,607,0.49,0,0.33,0.01,0.38,0.17,0.66,0.92,0.54,0.34,0.85,0.14,0.16,1985,0.68,0,0.07,0
05055-480300-2,12.5,122.82,0.52,0.08,600,0.38,0,0.41,0.05,0.52,0.3,0.51,0.86,0.25,0.29,0.55,0.09,0.18,1991,0.63,0,0.03,0
05055-480401-1,579,3.14,0.52,0.28,262,0.41,0.11,0.24,0.03,0.63,0.48,0.43,0.63,0.25,0.18,0.64,0.1,0.13,2004,0.9,0.51,0.02,0
05055-480401-2,718.3,3.62,0.51,0.41,831,0.54,0,0.36,0.04,0.66,0.22,0.6,0.84,0.44,0.33,0.66,0.14,0.13,1998,0.91,0.16,0.08,0
05055-480402-1,4546.3,0.15,0.4,0.11,82,0.19,0,0.19,0.08,0.21,0.44,0,0.82,0.19,0.28,0.6,0.25,0.17,1992,0.69,0.16,0.32,0
05055-480402-2,2065.2,0.84,0.59,0.56,250,0.29,0.07,0.36,0.11,0.72,0.14,0.75,0.89,0.31,0.3,0.58,0.02,0.12,1974,0.67,0.11,0.12,0
05055-480501-1,740.3,1.82,0.5,0.15,314,0.43,0,0.15,0.02,0.63,0.2,0.43,0.93,0.46,0.27,0.82,0.16,0.12,2007,0.91,0.12,0.05,0
05055-480501-2,794.7,3.08,0.59,0.83,222,0.35,1,0.33,0.01,0.51,0.12,0.68,0.62,0.5,0.13,0.73,0,0.1,1979,0.93,0.45,0.13,0
05055-480501-3,968.7,0.24,0.53,0.46,29,0.2,0,0.09,0.09,0.48,0,0.64,0.86,0.53,0.19,1,0.18,0,1951,0.53,0.23,0,0
05055-480502-1,2704.9,0.22,0.75,0,138,0.28,0,0.47,0,0.45,0.16,0.81,0.55,0.32,0.42,0.38,0,0.15,1971,0.5,0.13,0.15,0
05055-480502-2,3602.3,0.38,0.44,0.63,166,0.2,0.12,0.28,0,0.46,0.1,0.05,0.7,0.56,0.23,0.7,0.21,0.12,1971,0.51,0.28,0.1,0
05055-480502-3,768.9,1.79,0.45,0.53,252,0.41,0,0.43,0.02,0.83,0.06,0.56,0.81,0.47,0.4,0.66,0.03,0.03,2000,0.86,0.25,0.23,0
05055-480601-1,14.8,60.12,0.47,0,447,0.43,0,0.21,0,0.39,0.48,0.25,0.97,0.15,0.12,0.61,0.28,0.21,1972,0.31,0,0.08,0
05055-480601-2,107.8,15.5,0.48,0.23,454,0.47,0,0.15,0.02,0.5,0.14,0.79,0.77,0.38,0.23,0.87,0.03,0.17,1982,0.45,0.42,0.34,0
05055-480601-3,60.8,13.39,0.47,0,231,0.4,0.48,0.18,0,0.49,0.06,0.57,0.73,0.33,0.43,0.86,0.12,0.05,1995,0.44,0,0.28,0
05055-480602-1,63.3,46.27,0.48,0.2,914,0.6,0,0.1,0.09,0.75,0.22,0.66,0.92,0.47,0.34,0.93,0.16,0.17,2003,0.89,0.4,0.08,0
