Unnamed: 0	population_den	Area	female_per	children_living_with_single_parents	owner_occupied	some_college_more	dropped_out_schoolOrCollege	sep_wid_div	unemp	debt_housing_units	housing_retirement_income	females_per_tier1_jobs	household_income_less_than_20k	household_size_greater_than_equal_3	age_35_to_54	family_household	household_self_emp	hh_dividends	yr_built	electricity_cost_per	gross_rent	pool_publicTransport	bike
"Block Group 1, Census Tract 4801, Arkansas County, Arkansas"	4.5	265.72	0.41	0.33	369	0.5	0	0.19	0.02	0.32	0.33	0.6	0.81	0.33	0.22	0.67	0.12	0.14	1978	0.56	0	0.19	0
"Block Group 1, Census Tract 4802, Arkansas County, Arkansas"	4.8	277.07	0.51	0.24	361	0.46	0	0.13	0.03	0.47	0.21	0.49	0.91	0.39	0.24	0.82	0.24	0.16	1979	0.48	0.12	0.07	0
"Block Group 1, Census Tract 4803, Arkansas County, Arkansas"	1830.6	0.53	0.47	0.13	161	0.24	0	0.17	0	0.37	0.23	0.35	0.79	0.44	0.18	0.75	0.06	0	1975	0.5	0.07	0.14	0
"Block Group 2, Census Tract 4803, Arkansas County, Arkansas"	126.5	15.32	0.52	0.32	537	0.5	0	0.22	0.02	0.48	0.22	0.3	0.85	0.29	0.29	0.75	0.09	0.22	1983	0.68	0.06	0	0
"Block Group 1, Census Tract 4804, Arkansas County, Arkansas"	2224.6	0.73	0.57	0.57	303	0.27	1	0.33	0.05	0.65	0.18	0.17	0.49	0.31	0.25	0.42	0.06	0	1978	0.57	0.44	0.09	0
"Block Group 2, Census Tract 4804, Arkansas County, Arkansas"	23.4	22.74	0.41	0.58	135	0.49	0	0.19	0.04	0.62	0.1	0.42	0.73	0.39	0.14	0.69	0.14	0.16	1984	0.72	0.11	0.24	0
"Block Group 1, Census Tract 4805, Arkansas County, Arkansas"	2154.2	0.75	0.51	0.18	449	0.6	0	0.32	0	0.63	0.29	0.43	0.91	0.33	0.27	0.66	0.1	0.17	1969	0.37	0.07	0.02	0
"Block Group 2, Census Tract 4805, Arkansas County, Arkansas"	2476.3	0.75	0.52	0.96	262	0.54	0	0.2	0.03	0.68	0.27	0.46	0.79	0.25	0.25	0.65	0.08	0.04	1966	0.53	0.16	0.05	0
"Block Group 3, Census Tract 4805, Arkansas County, Arkansas"	97.4	3.89	0.36	0	75	0.43	0	0.17	0	0.52	0.08	0.33	0.83	0.29	0.23	0.35	0.06	0.05	1963	0.53	0	0	0
"Block Group 1, Census Tract 4806, Arkansas County, Arkansas"	36.7	51.51	0.49	0.04	625	0.46	0	0.27	0.01	0.37	0.11	0.61	0.86	0.24	0.24	0.63	0.07	0.08	1976	0.63	0.29	0.07	0
